#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2024 01 08 06 20  23  5.9  8.9  2.27  6.40  6.02 999 9999.0 999.0 999.0 999.0 99.0 99.00
2024 01 08 07 20  50  1.0  2.7  1.95  7.53  6.04 999 9999.0 999.0 999.0 999.0 99.0 99.00
2024 01 08 08 20 104  1.5  3.5  2.04  6.74  6.15 999 9999.0 999.0 999.0 999.0 99.0 99.00
2024 01 08 09 20  94  3.9  6.6  1.95  7.11  6.40 999 9999.0 999.0 999.0 999.0 99.0 99.00
2024 01 08 10 20  94  4.6  6.1  1.86  8.53  6.76 999 9999.0 999.0 999.0 999.0 99.0 99.00
2024 01 08 11 20 169  1.3  2.8  1.76  6.24  6.69 999 9999.0 999.0 999.0 999.0 99.0 99.00
2024 01 08 12 20  62  3.8 10.0  1.63  6.92  6.92 999 9999.0 999.0 999.0 999.0 99.0 99.00
2024 01 08 13 20 101  2.2  7.1  1.64  7.11  7.18 999 9999.0 999.0 999.0 999.0 99.0 99.00
2024 01 08 14 20  99  2.4  5.4  1.63  9.48  7.08 999 9999.0 999.0 999.0 999.0 99.0 99.00
2024 01 08 15 20 101  5.5  7.3  1.62  9.14  7.36 999 9999.0 999.0 999.0 999.0 99.0 99.00
2024 01 08 16 20 184  1.0  3.5  1.53 10.67  7.22 999 9999.0 999.0 999.0 999.0 99.0 99.00
2024 01 08 17 20 222  0.5  1.6  1.49 10.67  7.04 999 9999.0 999.0 999.0 999.0 99.0 99.00
2024 01 08 18 20 307  1.2  2.5  1.45 10.67  7.40 999 9999.0 999.0 999.0 999.0 99.0 99.00
2024 01 08 19 20 334  2.0  3.6  1.40 10.67  7.12 999 9999.0 999.0 999.0 999.0 99.0 99.00
2024 01 08 20 20 352  3.0  3.9  1.36 10.67  7.10 999 9999.0 999.0 999.0 999.0 99.0 99.00
2024 01 08 21 20 306  2.0  4.0  1.40 11.13  7.15 999 9999.0 999.0 999.0 999.0 99.0 99.00
2024 01 08 22 20 276  3.5  5.4  1.32 10.67  6.92 999 9999.0 999.0 999.0 999.0 99.0 99.00
2024 01 08 23 20 297  3.9  5.7  1.40 10.67  7.36 999 9999.0 999.0 999.0 999.0 99.0 99.00
2024 01 09 00 20 320  4.3  5.5  1.27  9.48  7.38 999 9999.0 999.0 999.0 999.0 99.0 99.00
2024 01 09 01 20 333  6.6  8.2  1.18 10.67  7.11 999 9999.0 999.0 999.0 999.0 99.0 99.00
2024 01 09 02 20 340  5.9  7.2  1.22 13.47  6.70 999 9999.0 999.0 999.0 999.0 99.0 99.00
2024 01 09 03 20 354  4.5  5.9  1.28 12.80  6.65 999 9999.0 999.0 999.0 999.0 99.0 99.00
2024 01 09 04 20  44  2.0  3.3  1.19 12.80  6.97 999 9999.0 999.0 999.0 999.0 99.0 99.00
2024 01 09 05 20  86  2.8  4.9  1.27 12.80  7.15 999 9999.0 999.0 999.0 999.0 99.0 99.00
2024 01 09 06 20  51  2.4  3.9  1.14 12.19  7.04 999 9999.0 999.0 999.0 999.0 99.0 99.00
2024 01 09 07 20  95  2.7  5.2  1.07 12.80  7.08 999 9999.0 999.0 999.0 999.0 99.0 99.00
2024 01 09 08 20  97  5.3  8.2  1.03 11.13  7.64 999 9999.0 999.0 999.0 999.0 99.0 99.00
2024 01 09 09 20 100  5.7  8.1  1.02 10.24  7.49 999 9999.0 999.0 999.0 999.0 99.0 99.00
2024 01 09 10 20 117  2.1  5.8  1.02 11.64  7.97 999 9999.0 999.0 999.0 999.0 99.0 99.00
2024 01 09 11 20 108  0.6  1.5  0.96 11.13  7.86 999 9999.0 999.0 999.0 999.0 99.0 99.00
2024 01 09 12 20  99  2.9  4.5  1.00 13.47  8.17 999 9999.0 999.0 999.0 999.0 99.0 99.00
2024 01 09 13 20 110  0.8  3.4  0.92 13.47  7.52 999 9999.0 999.0 999.0 999.0 99.0 99.00
2024 01 09 14 20 107  2.9  5.3  0.95 12.80  7.87 999 9999.0 999.0 999.0 999.0 99.0 99.00
2024 01 09 15 20 100  3.3  5.0  0.98 12.80  8.03 999 9999.0 999.0 999.0 999.0 99.0 99.00
2024 01 09 16 20  96  3.1  4.6  1.02 11.13  7.97 999 9999.0 999.0 999.0 999.0 99.0 99.00
2024 01 09 17 20 159  1.3  2.8  0.91 11.13  7.62 999 9999.0 999.0 999.0 999.0 99.0 99.00
2024 01 09 18 20 206  1.4  2.6  0.91 12.80  7.51 999 9999.0 999.0 999.0 999.0 99.0 99.00
2024 01 09 19 20 281  1.6  2.6  0.91 12.80  7.75 999 9999.0 999.0 999.0 999.0 99.0 99.00
2024 01 09 20 20 263  1.5  2.4  0.86 12.80  7.61 999 9999.0 999.0 999.0 999.0 99.0 99.00
2024 01 09 21 20 293  1.2  2.0  0.90 12.80  7.52 999 9999.0 999.0 999.0 999.0 99.0 99.00
2024 01 09 22 20 299  1.1  1.7  0.84 12.80  7.13 999 9999.0 999.0 999.0 999.0 99.0 99.00
2024 01 09 23 20 302  1.3  2.6  0.82 12.19  7.16 999 9999.0 999.0 999.0 999.0 99.0 99.00
2024 01 10 00 20 235  0.6  1.0  0.82  9.85  7.29 999 9999.0 999.0 999.0 999.0 99.0 99.00
2024 01 10 01 20 260  0.3  1.1  0.78 12.80  6.85 999 9999.0 999.0 999.0 999.0 99.0 99.00
2024 01 10 02 20 139  1.0  1.5  0.77 11.64  7.14 999 9999.0 999.0 999.0 999.0 99.0 99.00
2024 01 10 03 20 138  1.1  1.7  0.76 11.64  7.25 999 9999.0 999.0 999.0 999.0 99.0 99.00
2024 01 10 04 20 110  2.3  3.4  0.72 11.64  7.03 999 9999.0 999.0 999.0 999.0 99.0 99.00
2024 01 10 05 20 106  4.0  5.4  0.77 12.80  7.08 999 9999.0 999.0 999.0 999.0 99.0 99.00
2024 01 10 06 20 105  4.8  6.1  0.82 10.67  7.06 999 9999.0 999.0 999.0 999.0 99.0 99.00
2024 01 10 07 20 107  4.7  6.4  0.77 12.19  6.96 999 9999.0 999.0 999.0 999.0 99.0 99.00
2024 01 10 08 20 104  4.9  6.6  0.75 10.67  6.81 999 9999.0 999.0 999.0 999.0 99.0 99.00
